Date,ALV.DE,ASML.AS,BNP.PA,DTE.DE,MC.PA,NESN.SW,NOVN.SW,ROG.SW,SAP.DE,SIE.DE
2010-01-05,0.0030492243373296812,0.0018549505350073936,-0.0019218537511129785,-0.008490323496206487,-0.004701290721945139,-0.023552329917236436,-0.01725727804938293,-0.013281700665755292,-0.0089555268221152,0.0006105384504195843
2010-01-06,0.007769722090255726,0.010697412178582555,0.0015752836549456362,-0.0247386556002539,0.009702247235197303,-0.01587961915909397,0.0018672519909799234,0.006730201147178816,0.017766905118148157,0.003663848988928242
2010-01-07,-0.011508477293679098,-0.018318701932713344,0.017476587722250025,-0.01902413301322714,0.011379207259274216,-0.011437707482713666,-0.007398614617917465,-0.008356434528219103,0.026486232656531605,0.011863093475997566
2010-01-08,-0.00542574686268138,-0.0335892269030903,0.023702997067787557,0.005469763876913003,0.013502008771360874,0.014669291904094717,0.0,0.0028089765075560713,0.007036993114943213,0.006312964722721359
2010-01-11,-0.011251118732353849,-0.03754552599170635,-0.014093970739463502,0.006923832240253169,0.007771074081344587,-0.005701157499629628,0.0037359381431374405,0.0011201379646008647,0.009608162734623393,0.002539056978532628
2010-01-12,-0.00425295918637969,0.016495809478398904,-0.004935101065350445,-0.007858366416424345,-0.028763813091199797,-0.0006147719127312934,-0.009259329864632515,-0.004476529880716895,-0.009660980755136106,-0.012216717168341384
2010-01-13,0.0017316766959609708,0.01666682151363741,-0.007183385634549344,0.005940355089030458,0.00756130260862431,0.0,0.012149668980078854,0.005621034767021804,0.010337879846098463,0.00904965521486778
2010-01-14,-0.010486342463411069,-0.0008629575170063797,0.010508285120123695,0.0009843816248897852,0.0013761562347867073,0.011270508148769176,0.011984984803315113,0.02179994921370354,0.01887858328960368,0.004484421356780288
2010-01-15,-0.012810183203631031,-0.012953386369571773,-0.0366518237092176,-0.013274512902807456,-0.008118717047417623,-0.0046604302542865295,-0.011843046076068453,0.008752772580941981,-0.035360665726571594,-0.011458297233979065
2010-01-18,0.0002360204754976447,0.0015312215509206695,-0.0030084400731980043,-0.010563066117805997,0.017629637317752023,0.0069216941887328964,0.019390432628142662,-0.006507564300880175,-0.004838634460791136,0.005268527224163266
2010-01-19,0.004599486319859958,-0.009609267791486409,0.004082481598250087,0.016719018015297626,0.015963539804775717,0.006874567100807916,0.01175742569128424,0.012554679747411424,0.012966003611782906,0.011230966035929546
2010-01-20,-0.024888465786363723,0.03109158650934063,-0.027576543242414986,-0.012283515453471394,-0.0269187591186425,0.006023792936693528,-0.00537150367695971,-0.0026954793646642994,-0.010908913572206913,-0.024877692808347507
2010-01-21,-0.013965910143875937,0.016681035524176435,-0.026177076958778467,-0.009527696762877014,-0.01814984917463547,0.01696603901769489,0.011719134471683601,0.005405455568961104,-0.01794141448031228,-0.016704865335940733
2010-01-22,-0.00622703920527079,-0.01640734403546351,-0.01885374736438561,-0.006783984342805804,-0.008541617922369293,-0.00785077663907885,0.0008898086382265191,-0.006451511288881107,-0.008834757847570374,0.0004636573028220514
2010-01-25,-0.005282970331762615,-0.026090672892713274,-0.01769423128018377,-0.009073307547847853,0.00038616880602804216,-0.005934674281519059,-0.009777810674230003,-0.017857357471498858,-0.013597383675522878,-0.0027788510343110806
2010-01-26,0.003087685391031547,0.020202007978242564,0.020724534123393923,0.0,0.021079499104621924,-0.006169280549408573,0.020628199322554108,0.012121310398787166,0.0022973445182776775,0.05139302901635645
2010-01-27,-0.002585647892282883,-0.007963860925682353,-0.01802678500797117,-0.0061728041728384975,-0.004783536205075656,0.010212353362091475,0.0043978498864019056,-0.004354981626343402,0.000917102371796652,0.013491703446966152
2010-01-28,-0.017654457504671872,-0.009112678541442376,-0.013140002265189188,-0.02619071287050989,-0.01201622279461767,0.0029733140916645695,-0.00437859348952141,-0.010935038872199931,-0.01740477000469176,-0.031054326373270436
2010-01-29,0.010682403922045669,0.005912046421507,0.021147621976264297,-0.00531490593111561,0.012290420665865831,-0.0019762065040823673,0.0,-0.013266867058738585,0.0279677184930196,0.0020031660159161024
2010-02-01,0.0008705519554876862,-0.0017414692971472467,0.014381600246802684,0.005663951850132909,0.0032882130777265317,0.003960175817773193,0.007053863098059665,0.003921398894609851,0.01526591392181098,0.00030778740595938103
2010-02-02,0.00869663074310667,0.013519612394466307,0.01852550499523309,0.0031881895741010524,0.02231183472861975,0.0029587161717137267,0.007860361956893547,0.00781277147479953,0.00625283427640011,0.016141342446598594
2010-02-03,-0.00960685964402963,0.009896574614917109,-0.02487007141955433,-0.010381348324491002,0.004315567270733789,0.00294986198589986,0.007798899947143001,-0.006091007645598334,0.007545364183080494,-0.009531077586878989
2010-02-04,-0.01392893763764702,-0.02535134870971445,-0.05138937021111534,-0.010918393287368544,-0.04284819337392465,-0.024706024323896347,-0.008598360203651567,-0.02228410374385481,-0.007488858021989175,-0.03696356238748255
2010-02-05,-0.02118823183798635,-0.00918032456114204,-0.05487568701536427,-0.003138350464262918,-0.03963573849204893,-0.027945065717859596,-0.008673091931679311,-0.03247857142857147,-0.0121320062509096,-0.02188737196175583
